codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
27110,88.99B,28,49.133333,1.033333
27110,88.99B,28,"",""
27110,88.99B,28,49.183333,0.883333
27110,88.99B,28,49.166667,1.016667
27110,88.99B,28,49.116667,1
27110,88.99B,28,49.183333,1.033333
27110,88.99B,28,49.166667,0.933333
27110,88.99B,28,49.2,1.016667
27110,88.99B,28,49.2,0.966667
27110,88.99B,28,49.183333,0.983333
27110,88.99B,28,49.1,1.066667
27110,69.11,28,"",""
27110,69.11,28,49.15,0.866667
27110,69.11,28,49.15,1.05
27110,69.11,28,49.166667,1.05
27110,69.11,28,"",""
27110,69.11,28,"",""
27110,69.11,28,49.15,0.983333
27110,69.11,28,49.15,0.833333
27110,69.11,28,49.1,1.016667
27110,69.11,28,49.15,0.966667
27110,69.11,28,49.2,0.916667
27110,69.11,28,49.116667,0.9
27110,69.11,28,49.083333,0.95
27110,69.11,28,49.15,0.916667
27110,69.11,28,49.183333,0.933333
27110,69.11,28,49.183333,0.95
27110,69.11,28,49.1,0.983333
27110,69.11,28,49.133333,1.033333
27110,69.11,28,"",""
27110,69.11,28,49.183333,0.883333
27110,69.11,28,49.166667,1.016667
27110,69.11,28,49.116667,1
27110,69.11,28,49.183333,1.033333
27110,69.11,28,49.166667,0.933333
27110,69.11,28,49.2,1.016667
27110,69.11,28,49.2,0.966667
27110,69.11,28,49.183333,0.983333
27110,69.11,28,49.1,1.066667
27110,47.89Z,84,"",""
27110,47.89Z,84,49.15,0.866667
27110,47.89Z,84,49.15,1.05
27110,47.89Z,84,49.166667,1.05
27110,47.89Z,84,"",""
27110,47.89Z,84,"",""
27110,47.89Z,84,49.15,0.983333
27110,47.89Z,84,49.15,0.833333
27110,47.89Z,84,49.1,1.016667
27110,47.89Z,84,49.15,0.966667
27110,47.89Z,84,49.2,0.916667
27110,47.89Z,84,49.116667,0.9
27110,47.89Z,84,49.083333,0.95
27110,47.89Z,84,49.15,0.916667
27110,47.89Z,84,49.183333,0.933333
27110,47.89Z,84,49.183333,0.95
27110,47.89Z,84,49.1,0.983333
27110,47.89Z,84,49.133333,1.033333
27110,47.89Z,84,"",""
27110,47.89Z,84,49.183333,0.883333
27110,47.89Z,84,49.166667,1.016667
27110,47.89Z,84,49.116667,1
27110,47.89Z,84,49.183333,1.033333
27110,47.89Z,84,49.166667,0.933333
27110,47.89Z,84,49.2,1.016667
27110,47.89Z,84,49.2,0.966667
27110,47.89Z,84,49.183333,0.983333
27110,47.89Z,84,49.1,1.066667
27110,73.11Z,28,"",""
27110,73.11Z,28,49.15,0.866667
27110,73.11Z,28,49.15,1.05
27110,73.11Z,28,49.166667,1.05
27110,73.11Z,28,"",""
27110,73.11Z,28,"",""
27110,73.11Z,28,49.15,0.983333
27110,73.11Z,28,49.15,0.833333
27110,73.11Z,28,49.1,1.016667
27110,73.11Z,28,49.15,0.966667
27110,73.11Z,28,49.2,0.916667
27110,73.11Z,28,49.116667,0.9
27110,73.11Z,28,49.083333,0.95
27110,73.11Z,28,49.15,0.916667
27110,73.11Z,28,49.183333,0.933333
27110,73.11Z,28,49.183333,0.95
27110,73.11Z,28,49.1,0.983333
27110,73.11Z,28,49.133333,1.033333
27110,73.11Z,28,"",""
27110,73.11Z,28,49.183333,0.883333
27110,73.11Z,28,49.166667,1.016667
27110,73.11Z,28,49.116667,1
27110,73.11Z,28,49.183333,1.033333
27110,73.11Z,28,49.166667,0.933333
27110,73.11Z,28,49.2,1.016667
27110,73.11Z,28,49.2,0.966667
27110,73.11Z,28,49.183333,0.983333
27110,73.11Z,28,49.1,1.066667
27110,45.2V,28,"",""
27110,45.2V,28,49.15,0.866667
27110,45.2V,28,49.15,1.05
27110,45.2V,28,49.166667,1.05
27110,45.2V,28,"",""
27110,45.2V,28,"",""
27110,45.2V,28,49.15,0.983333
27110,45.2V,28,49.15,0.833333
27110,45.2V,28,49.1,1.016667
27110,45.2V,28,49.15,0.966667
27110,45.2V,28,49.2,0.916667
27110,45.2V,28,49.116667,0.9
27110,45.2V,28,49.083333,0.95
27110,45.2V,28,49.15,0.916667
27110,45.2V,28,49.183333,0.933333
27110,45.2V,28,49.183333,0.95
27110,45.2V,28,49.1,0.983333
27110,45.2V,28,49.133333,1.033333
27110,45.2V,28,"",""
27110,45.2V,28,49.183333,0.883333
27110,45.2V,28,49.166667,1.016667
27110,45.2V,28,49.116667,1
27110,45.2V,28,49.183333,1.033333
27110,45.2V,28,49.166667,0.933333
27110,45.2V,28,49.2,1.016667
27110,45.2V,28,49.2,0.966667
27110,45.2V,28,49.183333,0.983333
27110,45.2V,28,49.1,1.066667
27110,43.21A,84,"",""
27110,43.21A,84,49.15,0.866667
27110,43.21A,84,49.15,1.05
27110,43.21A,84,49.166667,1.05
27110,43.21A,84,"",""
27110,43.21A,84,"",""
27110,43.21A,84,49.15,0.983333
27110,43.21A,84,49.15,0.833333
27110,43.21A,84,49.1,1.016667
27110,43.21A,84,49.15,0.966667
27110,43.21A,84,49.2,0.916667
27110,43.21A,84,49.116667,0.9
27110,43.21A,84,49.083333,0.95
27110,43.21A,84,49.15,0.916667
27110,43.21A,84,49.183333,0.933333
27110,43.21A,84,49.183333,0.95
27110,43.21A,84,49.1,0.983333
27110,43.21A,84,49.133333,1.033333
27110,43.21A,84,"",""
27110,43.21A,84,49.183333,0.883333
27110,43.21A,84,49.166667,1.016667
27110,43.21A,84,49.116667,1
27110,43.21A,84,49.183333,1.033333
27110,43.21A,84,49.166667,0.933333
27110,43.21A,84,49.2,1.016667
27110,43.21A,84,49.2,0.966667
27110,43.21A,84,49.183333,0.983333
27110,43.21A,84,49.1,1.066667
27110,71.12B,28,"",""
27110,71.12B,28,49.15,0.866667
27110,71.12B,28,49.15,1.05
27110,71.12B,28,49.166667,1.05
27110,71.12B,28,"",""
27110,71.12B,28,"",""
27110,71.12B,28,49.15,0.983333
27110,71.12B,28,49.15,0.833333
27110,71.12B,28,49.1,1.016667
27110,71.12B,28,49.15,0.966667
27110,71.12B,28,49.2,0.916667
27110,71.12B,28,49.116667,0.9
27110,71.12B,28,49.083333,0.95
27110,71.12B,28,49.15,0.916667
27110,71.12B,28,49.183333,0.933333
27110,71.12B,28,49.183333,0.95
27110,71.12B,28,49.1,0.983333
27110,71.12B,28,49.133333,1.033333
27110,71.12B,28,"",""
27110,71.12B,28,49.183333,0.883333
27110,71.12B,28,49.166667,1.016667
27110,71.12B,28,49.116667,1
27110,71.12B,28,49.183333,1.033333
27110,71.12B,28,49.166667,0.933333
27110,71.12B,28,49.2,1.016667
27110,71.12B,28,49.2,0.966667
27110,71.12B,28,49.183333,0.983333
27110,71.12B,28,49.1,1.066667
27110,68.20B,168,"",""
27110,68.20B,168,49.15,0.866667
27110,68.20B,168,49.15,1.05
27110,68.20B,168,49.166667,1.05
27110,68.20B,168,"",""
27110,68.20B,168,"",""
27110,68.20B,168,49.15,0.983333
27110,68.20B,168,49.15,0.833333
27110,68.20B,168,49.1,1.016667
27110,68.20B,168,49.15,0.966667
27110,68.20B,168,49.2,0.916667
27110,68.20B,168,49.116667,0.9
27110,68.20B,168,49.083333,0.95
27110,68.20B,168,49.15,0.916667
27110,68.20B,168,49.183333,0.933333
27110,68.20B,168,49.183333,0.95
27110,68.20B,168,49.1,0.983333
27110,68.20B,168,49.133333,1.033333
27110,68.20B,168,"",""
27110,68.20B,168,49.183333,0.883333
27110,68.20B,168,49.166667,1.016667
27110,68.20B,168,49.116667,1
27110,68.20B,168,49.183333,1.033333
27110,68.20B,168,49.166667,0.933333
27110,68.20B,168,49.2,1.016667
27110,68.20B,168,49.2,0.966667
27110,68.20B,168,49.183333,0.983333
27110,68.20B,168,49.1,1.066667
