codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
27190,70.22Z,24,49,0.916667
27190,70.22Z,24,48.933333,1
27190,70.22Z,24,48.95,0.983333
27190,70.22Z,24,48.95,0.816667
27190,70.22Z,24,48.966667,0.983333
27190,70.22Z,24,"",""
27190,70.22Z,24,48.983333,1.016667
27190,70.22Z,24,48.983333,1.016667
27190,70.22Z,24,49.016667,0.983333
27190,70.22Z,24,49.016667,0.933333
27190,70.22Z,24,49.066667,0.916667
27190,70.22Z,24,48.966667,0.933333
27190,70.22Z,24,49,0.85
27190,70.22Z,24,48.966667,1.016667
27190,70.22Z,24,48.983333,0.95
27190,70.22Z,24,48.916667,0.916667
27190,88.99B,24,48.966667,0.833333
27190,88.99B,24,48.966667,0.883333
27190,88.99B,24,48.983333,0.966667
27190,88.99B,24,49.033333,0.95
27190,88.99B,24,48.933333,1.033333
27190,88.99B,24,49.05,0.966667
27190,88.99B,24,48.916667,1
27190,88.99B,24,48.933333,0.95
27190,88.99B,24,49,0.916667
27190,88.99B,24,48.933333,1
27190,88.99B,24,48.95,0.983333
27190,88.99B,24,48.95,0.816667
27190,88.99B,24,48.966667,0.983333
27190,88.99B,24,"",""
27190,88.99B,24,48.983333,1.016667
27190,88.99B,24,48.983333,1.016667
27190,88.99B,24,49.016667,0.983333
27190,88.99B,24,49.016667,0.933333
27190,88.99B,24,49.066667,0.916667
27190,88.99B,24,48.966667,0.933333
27190,88.99B,24,49,0.85
27190,88.99B,24,48.966667,1.016667
27190,88.99B,24,48.983333,0.95
27190,88.99B,24,48.916667,0.916667
27190,47.89Z,48,48.966667,0.833333
27190,47.89Z,48,48.966667,0.883333
27190,47.89Z,48,48.983333,0.966667
27190,47.89Z,48,49.033333,0.95
27190,47.89Z,48,48.933333,1.033333
27190,47.89Z,48,49.05,0.966667
27190,47.89Z,48,48.916667,1
27190,47.89Z,48,48.933333,0.95
27190,47.89Z,48,49,0.916667
27190,47.89Z,48,48.933333,1
27190,47.89Z,48,48.95,0.983333
27190,47.89Z,48,48.95,0.816667
27190,47.89Z,48,48.966667,0.983333
27190,47.89Z,48,"",""
27190,47.89Z,48,48.983333,1.016667
27190,47.89Z,48,48.983333,1.016667
27190,47.89Z,48,49.016667,0.983333
27190,47.89Z,48,49.016667,0.933333
27190,47.89Z,48,49.066667,0.916667
27190,47.89Z,48,48.966667,0.933333
27190,47.89Z,48,49,0.85
27190,47.89Z,48,48.966667,1.016667
27190,47.89Z,48,48.983333,0.95
27190,47.89Z,48,48.916667,0.916667
27190,43.21A,48,48.966667,0.833333
27190,43.21A,48,48.966667,0.883333
27190,43.21A,48,48.983333,0.966667
27190,43.21A,48,49.033333,0.95
27190,43.21A,48,48.933333,1.033333
27190,43.21A,48,49.05,0.966667
27190,43.21A,48,48.916667,1
27190,43.21A,48,48.933333,0.95
27190,43.21A,48,49,0.916667
27190,43.21A,48,48.933333,1
27190,43.21A,48,48.95,0.983333
27190,43.21A,48,48.95,0.816667
27190,43.21A,48,48.966667,0.983333
27190,43.21A,48,"",""
27190,43.21A,48,48.983333,1.016667
27190,43.21A,48,48.983333,1.016667
27190,43.21A,48,49.016667,0.983333
27190,43.21A,48,49.016667,0.933333
27190,43.21A,48,49.066667,0.916667
27190,43.21A,48,48.966667,0.933333
27190,43.21A,48,49,0.85
27190,43.21A,48,48.966667,1.016667
27190,43.21A,48,48.983333,0.95
27190,43.21A,48,48.916667,0.916667
27190,70.2A,24,48.966667,0.833333
27190,70.2A,24,48.966667,0.883333
27190,70.2A,24,48.983333,0.966667
27190,70.2A,24,49.033333,0.95
27190,70.2A,24,48.933333,1.033333
27190,70.2A,24,49.05,0.966667
27190,70.2A,24,48.916667,1
27190,70.2A,24,48.933333,0.95
27190,70.2A,24,49,0.916667
27190,70.2A,24,48.933333,1
27190,70.2A,24,48.95,0.983333
27190,70.2A,24,48.95,0.816667
27190,70.2A,24,48.966667,0.983333
27190,70.2A,24,"",""
27190,70.2A,24,48.983333,1.016667
27190,70.2A,24,48.983333,1.016667
27190,70.2A,24,49.016667,0.983333
27190,70.2A,24,49.016667,0.933333
27190,70.2A,24,49.066667,0.916667
27190,70.2A,24,48.966667,0.933333
27190,70.2A,24,49,0.85
27190,70.2A,24,48.966667,1.016667
27190,70.2A,24,48.983333,0.95
27190,70.2A,24,48.916667,0.916667
27190,10.51C,24,48.966667,0.833333
27190,10.51C,24,48.966667,0.883333
27190,10.51C,24,48.983333,0.966667
27190,10.51C,24,49.033333,0.95
27190,10.51C,24,48.933333,1.033333
27190,10.51C,24,49.05,0.966667
27190,10.51C,24,48.916667,1
27190,10.51C,24,48.933333,0.95
27190,10.51C,24,49,0.916667
27190,10.51C,24,48.933333,1
27190,10.51C,24,48.95,0.983333
27190,10.51C,24,48.95,0.816667
27190,10.51C,24,48.966667,0.983333
27190,10.51C,24,"",""
27190,10.51C,24,48.983333,1.016667
27190,10.51C,24,48.983333,1.016667
27190,10.51C,24,49.016667,0.983333
27190,10.51C,24,49.016667,0.933333
27190,10.51C,24,49.066667,0.916667
27190,10.51C,24,48.966667,0.933333
27190,10.51C,24,49,0.85
27190,10.51C,24,48.966667,1.016667
27190,10.51C,24,48.983333,0.95
27190,10.51C,24,48.916667,0.916667
27190,55.72,24,48.966667,0.833333
27190,55.72,24,48.966667,0.883333
27190,55.72,24,48.983333,0.966667
27190,55.72,24,49.033333,0.95
27190,55.72,24,48.933333,1.033333
27190,55.72,24,49.05,0.966667
27190,55.72,24,48.916667,1
27190,55.72,24,48.933333,0.95
27190,55.72,24,49,0.916667
27190,55.72,24,48.933333,1
27190,55.72,24,48.95,0.983333
27190,55.72,24,48.95,0.816667
27190,55.72,24,48.966667,0.983333
27190,55.72,24,"",""
27190,55.72,24,48.983333,1.016667
27190,55.72,24,48.983333,1.016667
27190,55.72,24,49.016667,0.983333
27190,55.72,24,49.016667,0.933333
27190,55.72,24,49.066667,0.916667
27190,55.72,24,48.966667,0.933333
27190,55.72,24,49,0.85
27190,55.72,24,48.966667,1.016667
27190,55.72,24,48.983333,0.95
27190,55.72,24,48.916667,0.916667
27190,68.20B,312,48.966667,0.833333
27190,68.20B,312,48.966667,0.883333
27190,68.20B,312,48.983333,0.966667
27190,68.20B,312,49.033333,0.95
27190,68.20B,312,48.933333,1.033333
27190,68.20B,312,49.05,0.966667
27190,68.20B,312,48.916667,1
27190,68.20B,312,48.933333,0.95
27190,68.20B,312,49,0.916667
27190,68.20B,312,48.933333,1
27190,68.20B,312,48.95,0.983333
27190,68.20B,312,48.95,0.816667
27190,68.20B,312,48.966667,0.983333
27190,68.20B,312,"",""
27190,68.20B,312,48.983333,1.016667
27190,68.20B,312,48.983333,1.016667
27190,68.20B,312,49.016667,0.983333
27190,68.20B,312,49.016667,0.933333
27190,68.20B,312,49.066667,0.916667
27190,68.20B,312,48.966667,0.933333
27190,68.20B,312,49,0.85
27190,68.20B,312,48.966667,1.016667
27190,68.20B,312,48.983333,0.95
27190,68.20B,312,48.916667,0.916667
